id,name,facility type,address,city,state,county,zip code,latitude,longitude,phone,services,source name,source url,source last checked,source notes,source id,source dataset,source last updated,last verified,verification status,fieldsources
cms-200001,ST JOSEPH HOSPITAL,hospital,360 BROADWAY,BANGOR,ME,PENOBSCOT,04401,44.814648398739,-68.771409796306,(207) 262-1000,Emergency services,CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-02,"Fields copied from the official CMS Hospital General Information CSV: facility name, address, city, state, ZIP code, county, phone, hospital type, ownership and emergency services flag. Hospital type: Acute Care Hospitals. Ownership: Voluntary non-profit - Church. Emergency services listed by CMS: Yes. Coordinates from the U.S. Census Bureau batch geocoder (Exact address match). CMS quality ratings and measures were intentionally not copied. Daily hours, prices and insurance details were not supplied by this intake.",200001,Hospital General Information,2026-07-02,2026-07-02,needs_review,"{""services"":{""field"":""services"",""status"":""source_backed"",""sourceUrl"":""https://data.cms.gov/provider-data/dataset/xubh-q36u"",""sourceTitle"":""CMS Hospital General Information"",""checkedDate"":""2026-07-02"",""sourceType"":""federal_open_data"",""locationSpecific"":true,""reviewerNote"":""Emergency services flag copied from the official CMS Hospital General Information row for this facility.""}}"
cms-200008,NORTHERN LIGHT MERCY HOSPITAL,hospital,144 STATE STREET,PORTLAND,ME,CUMBERLAND,04101,43.651989921047,-70.265152046502,(207) 879-3000,Emergency services,CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-02,"Fields copied from the official CMS Hospital General Information CSV: facility name, address, city, state, ZIP code, county, phone, hospital type, ownership and emergency services flag. Hospital type: Acute Care Hospitals. Ownership: Voluntary non-profit - Church. Emergency services listed by CMS: Yes. Coordinates from the U.S. Census Bureau batch geocoder (Exact address match). CMS quality ratings and measures were intentionally not copied. Daily hours, prices and insurance details were not supplied by this intake.",200008,Hospital General Information,2026-07-02,2026-07-02,needs_review,"{""services"":{""field"":""services"",""status"":""source_backed"",""sourceUrl"":""https://data.cms.gov/provider-data/dataset/xubh-q36u"",""sourceTitle"":""CMS Hospital General Information"",""checkedDate"":""2026-07-02"",""sourceType"":""federal_open_data"",""locationSpecific"":true,""reviewerNote"":""Emergency services flag copied from the official CMS Hospital General Information row for this facility.""}}"
cms-200009,MAINEHEALTH MAINE MEDICAL CENTER,hospital,22 BRAMHALL ST,PORTLAND,ME,CUMBERLAND,04102,43.652656846963,-70.27463605441,(207) 662-0111,Emergency services,CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-02,"Fields copied from the official CMS Hospital General Information CSV: facility name, address, city, state, ZIP code, county, phone, hospital type, ownership and emergency services flag. Hospital type: Acute Care Hospitals. Ownership: Voluntary non-profit - Private. Emergency services listed by CMS: Yes. Coordinates from the U.S. Census Bureau batch geocoder (Exact address match). CMS quality ratings and measures were intentionally not copied. Daily hours, prices and insurance details were not supplied by this intake.",200009,Hospital General Information,2026-07-02,2026-07-02,needs_review,"{""services"":{""field"":""services"",""status"":""source_backed"",""sourceUrl"":""https://data.cms.gov/provider-data/dataset/xubh-q36u"",""sourceTitle"":""CMS Hospital General Information"",""checkedDate"":""2026-07-02"",""sourceType"":""federal_open_data"",""locationSpecific"":true,""reviewerNote"":""Emergency services flag copied from the official CMS Hospital General Information row for this facility.""}}"
cms-200020,YORK HOSPITAL,hospital,15 HOSPITAL DRIVE,YORK,ME,YORK,03909,43.14242032754,-70.650946522208,(207) 351-2478,Emergency services,CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-02,"Fields copied from the official CMS Hospital General Information CSV: facility name, address, city, state, ZIP code, county, phone, hospital type, ownership and emergency services flag. Hospital type: Acute Care Hospitals. Ownership: Voluntary non-profit - Private. Emergency services listed by CMS: Yes. Coordinates from the U.S. Census Bureau batch geocoder (Exact address match). CMS quality ratings and measures were intentionally not copied. Daily hours, prices and insurance details were not supplied by this intake.",200020,Hospital General Information,2026-07-02,2026-07-02,needs_review,"{""services"":{""field"":""services"",""status"":""source_backed"",""sourceUrl"":""https://data.cms.gov/provider-data/dataset/xubh-q36u"",""sourceTitle"":""CMS Hospital General Information"",""checkedDate"":""2026-07-02"",""sourceType"":""federal_open_data"",""locationSpecific"":true,""reviewerNote"":""Emergency services flag copied from the official CMS Hospital General Information row for this facility.""}}"
cms-200021,MAINEHEALTH MID COAST HOSPITAL,hospital,123 MEDICAL CENTER DRIVE,BRUNSWICK,ME,CUMBERLAND,04011,43.906337722948,-69.891469736389,(207) 729-0181,Emergency services,CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-02,"Fields copied from the official CMS Hospital General Information CSV: facility name, address, city, state, ZIP code, county, phone, hospital type, ownership and emergency services flag. Hospital type: Acute Care Hospitals. Ownership: Voluntary non-profit - Private. Emergency services listed by CMS: Yes. Coordinates from the U.S. Census Bureau batch geocoder (Exact address match). CMS quality ratings and measures were intentionally not copied. Daily hours, prices and insurance details were not supplied by this intake.",200021,Hospital General Information,2026-07-02,2026-07-02,needs_review,"{""services"":{""field"":""services"",""status"":""source_backed"",""sourceUrl"":""https://data.cms.gov/provider-data/dataset/xubh-q36u"",""sourceTitle"":""CMS Hospital General Information"",""checkedDate"":""2026-07-02"",""sourceType"":""federal_open_data"",""locationSpecific"":true,""reviewerNote"":""Emergency services flag copied from the official CMS Hospital General Information row for this facility.""}}"
cms-200024,CENTRAL MAINE MEDICAL CENTER,hospital,300 MAIN STREET,LEWISTON,ME,ANDROSCOGGIN,04240,44.102837099808,-70.212964664793,(207) 795-0111,Emergency services,CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-02,"Fields copied from the official CMS Hospital General Information CSV: facility name, address, city, state, ZIP code, county, phone, hospital type, ownership and emergency services flag. Hospital type: Acute Care Hospitals. Ownership: Voluntary non-profit - Private. Emergency services listed by CMS: Yes. Coordinates from the U.S. Census Bureau batch geocoder (Exact address match). CMS quality ratings and measures were intentionally not copied. Daily hours, prices and insurance details were not supplied by this intake.",200024,Hospital General Information,2026-07-02,2026-07-02,needs_review,"{""services"":{""field"":""services"",""status"":""source_backed"",""sourceUrl"":""https://data.cms.gov/provider-data/dataset/xubh-q36u"",""sourceTitle"":""CMS Hospital General Information"",""checkedDate"":""2026-07-02"",""sourceType"":""federal_open_data"",""locationSpecific"":true,""reviewerNote"":""Emergency services flag copied from the official CMS Hospital General Information row for this facility.""}}"
cms-200031,CARY MEDICAL CENTER,hospital,"163 VAN BUREN RD, SUITE 1",CARIBOU,ME,AROOSTOOK,04736,46.871165378162,-67.999535670984,(207) 498-3111,Emergency services,CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-02,"Fields copied from the official CMS Hospital General Information CSV: facility name, address, city, state, ZIP code, county, phone, hospital type, ownership and emergency services flag. Hospital type: Acute Care Hospitals. Ownership: Government - Local. Emergency services listed by CMS: Yes. Coordinates from the U.S. Census Bureau batch geocoder (Exact address match). CMS quality ratings and measures were intentionally not copied. Daily hours, prices and insurance details were not supplied by this intake.",200031,Hospital General Information,2026-07-02,2026-07-02,needs_review,"{""services"":{""field"":""services"",""status"":""source_backed"",""sourceUrl"":""https://data.cms.gov/provider-data/dataset/xubh-q36u"",""sourceTitle"":""CMS Hospital General Information"",""checkedDate"":""2026-07-02"",""sourceType"":""federal_open_data"",""locationSpecific"":true,""reviewerNote"":""Emergency services flag copied from the official CMS Hospital General Information row for this facility.""}}"
cms-200033,NORTHERN LIGHT EASTERN MAINE MEDICAL CENTER,hospital,489 STATE STREET,BANGOR,ME,PENOBSCOT,04401,44.809980083212,-68.749456400244,(207) 973-7000,Emergency services,CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-02,"Fields copied from the official CMS Hospital General Information CSV: facility name, address, city, state, ZIP code, county, phone, hospital type, ownership and emergency services flag. Hospital type: Acute Care Hospitals. Ownership: Voluntary non-profit - Private. Emergency services listed by CMS: Yes. Coordinates from the U.S. Census Bureau batch geocoder (Exact address match). CMS quality ratings and measures were intentionally not copied. Daily hours, prices and insurance details were not supplied by this intake.",200033,Hospital General Information,2026-07-02,2026-07-02,needs_review,"{""services"":{""field"":""services"",""status"":""source_backed"",""sourceUrl"":""https://data.cms.gov/provider-data/dataset/xubh-q36u"",""sourceTitle"":""CMS Hospital General Information"",""checkedDate"":""2026-07-02"",""sourceType"":""federal_open_data"",""locationSpecific"":true,""reviewerNote"":""Emergency services flag copied from the official CMS Hospital General Information row for this facility.""}}"
cms-200034,ST MARY'S REGIONAL MEDICAL CENTER,hospital,93 CAMPUS AVENUE - PO BOX 291,LEWISTON,ME,ANDROSCOGGIN,04243,44.102041306855,-70.199607419396,(207) 777-8100,Emergency services,CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-02,"Fields copied from the official CMS Hospital General Information CSV: facility name, address, city, state, ZIP code, county, phone, hospital type, ownership and emergency services flag. Hospital type: Acute Care Hospitals. Ownership: Voluntary non-profit - Church. Emergency services listed by CMS: Yes. Coordinates from the U.S. Census Bureau batch geocoder (Non_Exact address match). CMS quality ratings and measures were intentionally not copied. Daily hours, prices and insurance details were not supplied by this intake.",200034,Hospital General Information,2026-07-02,2026-07-02,needs_review,"{""services"":{""field"":""services"",""status"":""source_backed"",""sourceUrl"":""https://data.cms.gov/provider-data/dataset/xubh-q36u"",""sourceTitle"":""CMS Hospital General Information"",""checkedDate"":""2026-07-02"",""sourceType"":""federal_open_data"",""locationSpecific"":true,""reviewerNote"":""Emergency services flag copied from the official CMS Hospital General Information row for this facility.""}}"
cms-20003f,TOGUS VA MEDICAL CENTER,hospital,1 VA CENTER,AUGUSTA,ME,KENNEBEC,04330,44.273741188312,-69.701831436589,(207) 623-8411,Emergency services,CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-02,"Fields copied from the official CMS Hospital General Information CSV: facility name, address, city, state, ZIP code, county, phone, hospital type, ownership and emergency services flag. Hospital type: Acute Care - Veterans Administration. Ownership: Veterans Health Administration. Emergency services listed by CMS: Yes. Coordinates from the U.S. Census Bureau batch geocoder (Exact address match). CMS quality ratings and measures were intentionally not copied. Daily hours, prices and insurance details were not supplied by this intake.",20003F,Hospital General Information,2026-07-02,2026-07-02,needs_review,"{""services"":{""field"":""services"",""status"":""source_backed"",""sourceUrl"":""https://data.cms.gov/provider-data/dataset/xubh-q36u"",""sourceTitle"":""CMS Hospital General Information"",""checkedDate"":""2026-07-02"",""sourceType"":""federal_open_data"",""locationSpecific"":true,""reviewerNote"":""Emergency services flag copied from the official CMS Hospital General Information row for this facility.""}}"
cms-200050,NORTHERN LIGHT MAINE COAST HOSPITAL,hospital,50 UNION STREET,ELLSWORTH,ME,HANCOCK,04605,44.547147040439,-68.415358901468,(207) 667-5311,Emergency services,CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-02,"Fields copied from the official CMS Hospital General Information CSV: facility name, address, city, state, ZIP code, county, phone, hospital type, ownership and emergency services flag. Hospital type: Acute Care Hospitals. Ownership: Voluntary non-profit - Other. Emergency services listed by CMS: Yes. Coordinates from the U.S. Census Bureau batch geocoder (Exact address match). CMS quality ratings and measures were intentionally not copied. Daily hours, prices and insurance details were not supplied by this intake.",200050,Hospital General Information,2026-07-02,2026-07-02,needs_review,"{""services"":{""field"":""services"",""status"":""source_backed"",""sourceUrl"":""https://data.cms.gov/provider-data/dataset/xubh-q36u"",""sourceTitle"":""CMS Hospital General Information"",""checkedDate"":""2026-07-02"",""sourceType"":""federal_open_data"",""locationSpecific"":true,""reviewerNote"":""Emergency services flag copied from the official CMS Hospital General Information row for this facility.""}}"
