id,name,facility type,address,city,state,county,zip code,latitude,longitude,phone,services,source name,source url,source last checked,source notes,source id,source dataset,source last updated,last verified,verification status,fieldsources
cms-410004,ROGER WILLIAMS MEDICAL CENTER,hospital,825 CHALKSTONE AVENUE,PROVIDENCE,RI,PROVIDENCE,02908,41.834046106806,-71.434322525691,(401) 456-2025,Emergency services,CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-02,"Fields copied from the official CMS Hospital General Information CSV: facility name, address, city, state, ZIP code, county, phone, hospital type, ownership and emergency services flag. Hospital type: Acute Care Hospitals. Ownership: Proprietary. Emergency services listed by CMS: Yes. Coordinates from the U.S. Census Bureau batch geocoder (Exact address match). CMS quality ratings and measures were intentionally not copied. Daily hours, prices and insurance details were not supplied by this intake.",410004,Hospital General Information,2026-07-02,2026-07-02,needs_review,"{""services"":{""field"":""services"",""status"":""source_backed"",""sourceUrl"":""https://data.cms.gov/provider-data/dataset/xubh-q36u"",""sourceTitle"":""CMS Hospital General Information"",""checkedDate"":""2026-07-02"",""sourceType"":""federal_open_data"",""locationSpecific"":true,""reviewerNote"":""Emergency services flag copied from the official CMS Hospital General Information row for this facility.""}}"
cms-410005,OUR LADY OF FATIMA HOSPITAL,hospital,200 HIGH SERVICE AVENUE,NORTH PROVIDENCE,RI,PROVIDENCE,02904,41.856687901371,-71.460663233926,(401) 456-3000,Emergency services,CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-02,"Fields copied from the official CMS Hospital General Information CSV: facility name, address, city, state, ZIP code, county, phone, hospital type, ownership and emergency services flag. Hospital type: Acute Care Hospitals. Ownership: Proprietary. Emergency services listed by CMS: Yes. Coordinates from the U.S. Census Bureau batch geocoder (Exact address match). CMS quality ratings and measures were intentionally not copied. Daily hours, prices and insurance details were not supplied by this intake.",410005,Hospital General Information,2026-07-02,2026-07-02,needs_review,"{""services"":{""field"":""services"",""status"":""source_backed"",""sourceUrl"":""https://data.cms.gov/provider-data/dataset/xubh-q36u"",""sourceTitle"":""CMS Hospital General Information"",""checkedDate"":""2026-07-02"",""sourceType"":""federal_open_data"",""locationSpecific"":true,""reviewerNote"":""Emergency services flag copied from the official CMS Hospital General Information row for this facility.""}}"
cms-410006,NEWPORT HOSPITAL,hospital,11 FRIENDSHIP STREET,NEWPORT,RI,NEWPORT,02840,41.497621987067,-71.305999997157,(401) 846-6400,Emergency services,CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-02,"Fields copied from the official CMS Hospital General Information CSV: facility name, address, city, state, ZIP code, county, phone, hospital type, ownership and emergency services flag. Hospital type: Acute Care Hospitals. Ownership: Voluntary non-profit - Private. Emergency services listed by CMS: Yes. Coordinates from the U.S. Census Bureau batch geocoder (Exact address match). CMS quality ratings and measures were intentionally not copied. Daily hours, prices and insurance details were not supplied by this intake.",410006,Hospital General Information,2026-07-02,2026-07-02,needs_review,"{""services"":{""field"":""services"",""status"":""source_backed"",""sourceUrl"":""https://data.cms.gov/provider-data/dataset/xubh-q36u"",""sourceTitle"":""CMS Hospital General Information"",""checkedDate"":""2026-07-02"",""sourceType"":""federal_open_data"",""locationSpecific"":true,""reviewerNote"":""Emergency services flag copied from the official CMS Hospital General Information row for this facility.""}}"
cms-410008,SOUTH COUNTY HOSPITAL INC,hospital,100 KENYON AVE,WAKEFIELD,RI,WASHINGTON,02879,41.432221904179,-71.496753221839,(401) 782-8000,Emergency services,CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-02,"Fields copied from the official CMS Hospital General Information CSV: facility name, address, city, state, ZIP code, county, phone, hospital type, ownership and emergency services flag. Hospital type: Acute Care Hospitals. Ownership: Voluntary non-profit - Private. Emergency services listed by CMS: Yes. Coordinates from the U.S. Census Bureau batch geocoder (Exact address match). CMS quality ratings and measures were intentionally not copied. Daily hours, prices and insurance details were not supplied by this intake.",410008,Hospital General Information,2026-07-02,2026-07-02,needs_review,"{""services"":{""field"":""services"",""status"":""source_backed"",""sourceUrl"":""https://data.cms.gov/provider-data/dataset/xubh-q36u"",""sourceTitle"":""CMS Hospital General Information"",""checkedDate"":""2026-07-02"",""sourceType"":""federal_open_data"",""locationSpecific"":true,""reviewerNote"":""Emergency services flag copied from the official CMS Hospital General Information row for this facility.""}}"
cms-410009,KENT COUNTY MEMORIAL HOSPITAL,hospital,455 TOLL GATE RD,WARWICK,RI,KENT,02886,41.704628145854,-71.478101034213,(401) 737-7010,Emergency services,CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-02,"Fields copied from the official CMS Hospital General Information CSV: facility name, address, city, state, ZIP code, county, phone, hospital type, ownership and emergency services flag. Hospital type: Acute Care Hospitals. Ownership: Proprietary. Emergency services listed by CMS: Yes. Coordinates from the U.S. Census Bureau batch geocoder (Exact address match). CMS quality ratings and measures were intentionally not copied. Daily hours, prices and insurance details were not supplied by this intake.",410009,Hospital General Information,2026-07-02,2026-07-02,needs_review,"{""services"":{""field"":""services"",""status"":""source_backed"",""sourceUrl"":""https://data.cms.gov/provider-data/dataset/xubh-q36u"",""sourceTitle"":""CMS Hospital General Information"",""checkedDate"":""2026-07-02"",""sourceType"":""federal_open_data"",""locationSpecific"":true,""reviewerNote"":""Emergency services flag copied from the official CMS Hospital General Information row for this facility.""}}"
cms-410010,WOMEN & INFANTS HOSPITAL OF RHODE ISLAND,hospital,101 DUDLEY STREET,PROVIDENCE,RI,PROVIDENCE,02905,41.810276961686,-71.411298380038,(401) 274-1100,Emergency services,CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-02,"Fields copied from the official CMS Hospital General Information CSV: facility name, address, city, state, ZIP code, county, phone, hospital type, ownership and emergency services flag. Hospital type: Acute Care Hospitals. Ownership: Voluntary non-profit - Private. Emergency services listed by CMS: Yes. Coordinates from the U.S. Census Bureau batch geocoder (Exact address match). CMS quality ratings and measures were intentionally not copied. Daily hours, prices and insurance details were not supplied by this intake.",410010,Hospital General Information,2026-07-02,2026-07-02,needs_review,"{""services"":{""field"":""services"",""status"":""source_backed"",""sourceUrl"":""https://data.cms.gov/provider-data/dataset/xubh-q36u"",""sourceTitle"":""CMS Hospital General Information"",""checkedDate"":""2026-07-02"",""sourceType"":""federal_open_data"",""locationSpecific"":true,""reviewerNote"":""Emergency services flag copied from the official CMS Hospital General Information row for this facility.""}}"
cms-410011,LANDMARK MEDICAL CENTER,hospital,115 CASS AVENUE,WOONSOCKET,RI,PROVIDENCE,02895,42.005241866766,-71.496283145402,(401) 769-4100,Emergency services,CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-02,"Fields copied from the official CMS Hospital General Information CSV: facility name, address, city, state, ZIP code, county, phone, hospital type, ownership and emergency services flag. Hospital type: Acute Care Hospitals. Ownership: Voluntary non-profit - Private. Emergency services listed by CMS: Yes. Coordinates from the U.S. Census Bureau batch geocoder (Exact address match). CMS quality ratings and measures were intentionally not copied. Daily hours, prices and insurance details were not supplied by this intake.",410011,Hospital General Information,2026-07-02,2026-07-02,needs_review,"{""services"":{""field"":""services"",""status"":""source_backed"",""sourceUrl"":""https://data.cms.gov/provider-data/dataset/xubh-q36u"",""sourceTitle"":""CMS Hospital General Information"",""checkedDate"":""2026-07-02"",""sourceType"":""federal_open_data"",""locationSpecific"":true,""reviewerNote"":""Emergency services flag copied from the official CMS Hospital General Information row for this facility.""}}"
cms-410012,THE MIRIAM HOSPITAL,hospital,164 SUMMIT AVENUE,PROVIDENCE,RI,PROVIDENCE,02906,41.851210394131,-71.397910198872,(401) 793-2500,Emergency services,CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-02,"Fields copied from the official CMS Hospital General Information CSV: facility name, address, city, state, ZIP code, county, phone, hospital type, ownership and emergency services flag. Hospital type: Acute Care Hospitals. Ownership: Voluntary non-profit - Private. Emergency services listed by CMS: Yes. Coordinates from the U.S. Census Bureau batch geocoder (Exact address match). CMS quality ratings and measures were intentionally not copied. Daily hours, prices and insurance details were not supplied by this intake.",410012,Hospital General Information,2026-07-02,2026-07-02,needs_review,"{""services"":{""field"":""services"",""status"":""source_backed"",""sourceUrl"":""https://data.cms.gov/provider-data/dataset/xubh-q36u"",""sourceTitle"":""CMS Hospital General Information"",""checkedDate"":""2026-07-02"",""sourceType"":""federal_open_data"",""locationSpecific"":true,""reviewerNote"":""Emergency services flag copied from the official CMS Hospital General Information row for this facility.""}}"
cms-410013,WESTERLY HOSPITAL,hospital,25 WELLS STREET,WESTERLY,RI,WASHINGTON,02891,41.362830775057,-71.824787230143,(401) 596-6000,Emergency services,CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-02,"Fields copied from the official CMS Hospital General Information CSV: facility name, address, city, state, ZIP code, county, phone, hospital type, ownership and emergency services flag. Hospital type: Acute Care Hospitals. Ownership: Voluntary non-profit - Private. Emergency services listed by CMS: Yes. Coordinates from the U.S. Census Bureau batch geocoder (Exact address match). CMS quality ratings and measures were intentionally not copied. Daily hours, prices and insurance details were not supplied by this intake.",410013,Hospital General Information,2026-07-02,2026-07-02,needs_review,"{""services"":{""field"":""services"",""status"":""source_backed"",""sourceUrl"":""https://data.cms.gov/provider-data/dataset/xubh-q36u"",""sourceTitle"":""CMS Hospital General Information"",""checkedDate"":""2026-07-02"",""sourceType"":""federal_open_data"",""locationSpecific"":true,""reviewerNote"":""Emergency services flag copied from the official CMS Hospital General Information row for this facility.""}}"
cms-41005f,PROVIDENCE VA MEDICAL CENTER,hospital,830 CHALKSTONE AVENUE,PROVIDENCE,RI,PROVIDENCE,02908,41.833573066524,-71.435658411056,(401) 457-3042,Emergency services,CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-02,"Fields copied from the official CMS Hospital General Information CSV: facility name, address, city, state, ZIP code, county, phone, hospital type, ownership and emergency services flag. Hospital type: Acute Care - Veterans Administration. Ownership: Veterans Health Administration. Emergency services listed by CMS: Yes. Coordinates from the U.S. Census Bureau batch geocoder (Exact address match). CMS quality ratings and measures were intentionally not copied. Daily hours, prices and insurance details were not supplied by this intake.",41005F,Hospital General Information,2026-07-02,2026-07-02,needs_review,"{""services"":{""field"":""services"",""status"":""source_backed"",""sourceUrl"":""https://data.cms.gov/provider-data/dataset/xubh-q36u"",""sourceTitle"":""CMS Hospital General Information"",""checkedDate"":""2026-07-02"",""sourceType"":""federal_open_data"",""locationSpecific"":true,""reviewerNote"":""Emergency services flag copied from the official CMS Hospital General Information row for this facility.""}}"
cms-414000,BUTLER HOSPITAL,hospital,345 BLACKSTONE BLVD,PROVIDENCE,RI,PROVIDENCE,02906,41.844403030283,-71.386372388713,(401) 455-6270,,CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-02,"Fields copied from the official CMS Hospital General Information CSV: facility name, address, city, state, ZIP code, county, phone, hospital type, ownership and emergency services flag. Hospital type: Psychiatric. Ownership: Voluntary non-profit - Private. Emergency services listed by CMS: No. Coordinates from the U.S. Census Bureau batch geocoder (Exact address match). CMS quality ratings and measures were intentionally not copied. Daily hours, prices and insurance details were not supplied by this intake.",414000,Hospital General Information,2026-07-02,2026-07-02,needs_review,
cms-414003,EMMA PENDLETON BRADLEY HOSPITAL,hospital,1011 VETERANS MEMORIAL PARKWAY,EAST PROVIDENCE,RI,PROVIDENCE,02915,41.792200431618,-71.365827849388,(401) 432-1000,Emergency services,CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-02,"Fields copied from the official CMS Hospital General Information CSV: facility name, address, city, state, ZIP code, county, phone, hospital type, ownership and emergency services flag. Hospital type: Psychiatric. Ownership: Voluntary non-profit - Private. Emergency services listed by CMS: Yes. Coordinates from the U.S. Census Bureau batch geocoder (Non_Exact address match). CMS quality ratings and measures were intentionally not copied. Daily hours, prices and insurance details were not supplied by this intake.",414003,Hospital General Information,2026-07-02,2026-07-02,needs_review,"{""services"":{""field"":""services"",""status"":""source_backed"",""sourceUrl"":""https://data.cms.gov/provider-data/dataset/xubh-q36u"",""sourceTitle"":""CMS Hospital General Information"",""checkedDate"":""2026-07-02"",""sourceType"":""federal_open_data"",""locationSpecific"":true,""reviewerNote"":""Emergency services flag copied from the official CMS Hospital General Information row for this facility.""}}"
