id,name,facilityType,address,city,state,stateFips,county,countyFips,postalCode,latitude,longitude,phone,website,services,monday,tuesday,wednesday,thursday,friday,saturday,sunday,hoursNotes,priceLevel,acceptsSlidingScale,estimatedVisitCost,priceNotes,acceptsMedicaid,acceptsMedicare,acceptsUninsured,insuranceNotes,accessibilityInfo,sourceName,sourceUrl,sourceLastChecked,sourceNotes,sourceId,sourceDataset,sourceLastUpdated,lastVerified,verificationStatus,isDemoData
hrsa-bps-h80-036928,Ingenuity Prep Public Charter School (SBMH),community_health_center,4600 Livingston Rd SE,Washington,DC,11,District of Columbia,11001,20032-3136,38.82390145,-77.00321334,202-562-0391,,,,,,,,,,HRSA operating hours per week: 40.00,unknown,,,,,,,,,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-06-24,"Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: School. Operational schedule: Unknown. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.",BPS-H80-036928,Health Center Service Delivery and Look-Alike Sites,2026-06-24,2026-06-24,needs_review,
hrsa-bps-h80-027304,Downtown BID,community_health_center,1313 New York Ave NW Bsmt # 1,Washington,DC,11,District of Columbia,11001,20005-4701,38.89998352,-77.03121560,202-469-4699,www.unityhealthcare.org,,,,,,,,,HRSA operating hours per week: 20.00,unknown,,,,,,,,,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-06-24,"Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Unknown. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.",BPS-H80-027304,Health Center Service Delivery and Look-Alike Sites,2026-06-24,2026-06-24,needs_review,
hrsa-bps-h80-036914,Clevelend Elementary School (SBMH),community_health_center,1825 8th St NW,Washington,DC,11,District of Columbia,11001,20001-3113,38.91506608,-77.02261786,202-939-4380,https://profiles.dcps.dc.gov/Cleveland+Elementary+School,,,,,,,,,HRSA operating hours per week: 40.00,unknown,,,,,,,,,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-06-24,"Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: School. Operational schedule: Unknown. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.",BPS-H80-036914,Health Center Service Delivery and Look-Alike Sites,2026-06-24,2026-06-24,needs_review,
hrsa-bps-h80-018156,Fort Totten DC/Briya PCS/Bridges PCS,community_health_center,100 Gallatin St NE,Washington,DC,11,District of Columbia,11001,20011-7533,38.95286994,-77.00748132,202-483-8196,www.maryscenter.org,,,,,,,,,HRSA operating hours per week: 50.00,unknown,,,,,,,,,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-06-24,"Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Unknown. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.",BPS-H80-018156,Health Center Service Delivery and Look-Alike Sites,2026-06-24,2026-06-24,needs_review,
hrsa-bps-h80-041525,Unity at Perry School Health Center,community_health_center,"128 M St NW, Suite 50",Washington,DC,11,District of Columbia,11001,20001-1242,38.90537384,-77.01334371,202-854-3842,,,,,,,,,,HRSA operating hours per week: 40.00,unknown,,,,,,,,,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-06-24,"Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Unknown. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.",BPS-H80-041525,Health Center Service Delivery and Look-Alike Sites,2026-06-24,2026-06-24,needs_review,
hrsa-bps-h80-036930,KIPP DC College Preparatory Campus (SBMH),community_health_center,1405 Brentwood Pkwy NE,Washington,DC,11,District of Columbia,11001,20002-2220,38.90960561,-76.99358446,202-678-2527,,,,,,,,,,HRSA operating hours per week: 40.00,unknown,,,,,,,,,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-06-24,"Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: School. Operational schedule: Unknown. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.",BPS-H80-036930,Health Center Service Delivery and Look-Alike Sites,2026-06-24,2026-06-24,needs_review,
hrsa-bps-h80-029848,FMCS Mobile,community_health_center,2041 Martin Luther King Jr Ave SE,Washington,DC,11,District of Columbia,11001,20020-7024,38.86593011,-76.98982870,202-889-7900,www.fmcsinc.org,,,,,,,,,HRSA operating hours per week: 12.00,unknown,,,,,,,,,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-06-24,"Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Unknown. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.",BPS-H80-029848,Health Center Service Delivery and Look-Alike Sites,2026-06-24,2026-06-24,needs_review,
hrsa-bps-h80-012902,Parkside Health Center,community_health_center,765 Kenilworth Ter NE,Washington,DC,11,District of Columbia,11001,20019-1898,38.90042818,-76.94746488,202-469-4699,www.unityhealthcare.org,,,,,,,,,HRSA operating hours per week: 48.00,unknown,,,,,,,,,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-06-24,"Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Full-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.",BPS-H80-012902,Health Center Service Delivery and Look-Alike Sites,2026-06-24,2026-06-24,needs_review,
hrsa-bps-h80-036916,DC International Public Charter School (SBMH),community_health_center,1400 Main Dr NW,Washington,DC,11,District of Columbia,11001,20012-2822,38.97293738,-77.03420333,202-808-9033,,,,,,,,,,HRSA operating hours per week: 40.00,unknown,,,,,,,,,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-06-24,"Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: School. Operational schedule: Unknown. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.",BPS-H80-036916,Health Center Service Delivery and Look-Alike Sites,2026-06-24,2026-06-24,needs_review,
hrsa-bps-h80-032050,Coolidge HS/Ida B Wells MS (SBHC),community_health_center,6315 5th St NW,Washington,DC,11,District of Columbia,11001,20011-1325,38.96729205,-77.01958068,202-483-8196,,,,,,,,,,HRSA operating hours per week: 35.00,unknown,,,,,,,,,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-06-24,"Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: School. Operational schedule: Unknown. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.",BPS-H80-032050,Health Center Service Delivery and Look-Alike Sites,2026-06-24,2026-06-24,needs_review,
