id,name,facilityType,address,city,state,stateFips,county,countyFips,postalCode,latitude,longitude,phone,website,services,monday,tuesday,wednesday,thursday,friday,saturday,sunday,hoursNotes,priceLevel,acceptsSlidingScale,estimatedVisitCost,priceNotes,acceptsMedicaid,acceptsMedicare,acceptsUninsured,insuranceNotes,accessibilityInfo,sourceName,sourceUrl,sourceLastChecked,sourceNotes,sourceId,sourceDataset,sourceLastUpdated,lastVerified,verificationStatus,isDemoData
hrsa-bps-h80-028081,WHRC clinic,community_health_center,620 Fallsway,Baltimore,MD,24,Baltimore City,24510,21202-4117,39.29740744,-76.61036779,410-855-5533,www.hchmd.org,,,,,,,,,HRSA operating hours per week: 24.00,unknown,,,,,,,,,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-06-24,"Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Unknown. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.",BPS-H80-028081,Health Center Service Delivery and Look-Alike Sites,2026-06-24,2026-06-24,needs_review,
hrsa-bps-h80-015675,Hillcrest Elementary School - School-Based Health Center,community_health_center,1285 Hillcrest Dr,Frederick,MD,24,Frederick County,24021,21703-1396,39.41085147,-77.45065827,301-600-3275,www.cityoffrederick.com/fcaa,,,,,,,,,HRSA operating hours per week: 40.00,unknown,,,,,,,,,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-06-24,"Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: School. Operational schedule: Unknown. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.",BPS-H80-015675,Health Center Service Delivery and Look-Alike Sites,2026-06-24,2026-06-24,needs_review,
hrsa-bps-h80-000268,PARK WEST MEN & FAMILY HLTH CTR,community_health_center,4151 Park Heights Ave,Baltimore,MD,24,Baltimore City,24510,21215-6730,39.33683155,-76.66396318,410-542-7800,,,,,,,,,,HRSA operating hours per week: 45.00,unknown,,,,,,,,,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-06-24,"Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Full-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.",BPS-H80-000268,Health Center Service Delivery and Look-Alike Sites,2026-06-24,2026-06-24,needs_review,
hrsa-bps-h80-033898,BMS at Rosedale,community_health_center,9520 Philadelphia Rd,Rosedale,MD,24,Baltimore County,24005,21237-4106,39.35581141,-76.46265921,410-732-8800,bmsi.org,,,,,,,,,HRSA operating hours per week: 57.00,unknown,,,,,,,,,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-06-24,"Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Unknown. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.",BPS-H80-033898,Health Center Service Delivery and Look-Alike Sites,2026-06-24,2026-06-24,needs_review,
hrsa-bps-h80-032729,Greensboro Elementary School,community_health_center,627 N Main St,Greensboro,MD,24,Caroline County,24011,21639-1469,38.98546682,-75.80136585,410-482-8187,,,,,,,,,,HRSA operating hours per week: 40.00,unknown,,,,,,,,,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-06-24,"Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: School. Operational schedule: Unknown. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.",BPS-H80-032729,Health Center Service Delivery and Look-Alike Sites,2026-06-24,2026-06-24,needs_review,
hrsa-bps-h80-008757,WSCHC Healthy Smiles in  Motion,community_health_center,201 S Cleveland Ave,Hagerstown,MD,24,Washington County,24043,21740-5745,39.63605632,-77.71130554,301-393-3427,www.walnutstreetchc.com,,,,,,,,,HRSA operating hours per week: 40.00,unknown,,,,,,,,,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-06-24,"Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Full-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.",BPS-H80-008757,Health Center Service Delivery and Look-Alike Sites,2026-06-24,2026-06-24,needs_review,
hrsa-bps-h80-031873,CCI-Wheaton,community_health_center,2730 University Blvd W,Silver Spring,MD,24,Montgomery County,24031,20902-1905,39.03928970,-77.05578732,866-877-7258,www.cciweb.org,,,,,,,,,HRSA operating hours per week: 40.00,unknown,,,,,,,,,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-06-24,"Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Unknown. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.",BPS-H80-031873,Health Center Service Delivery and Look-Alike Sites,2026-06-24,2026-06-24,needs_review,
hrsa-bps-h80-039061,Odenton Health Center,community_health_center,"2288 Blue Water Blvd, Ste 440",Odenton,MD,24,Anne Arundel County,24003,21113-3312,39.10014199,-76.71813760,410-383-8300,www.totalhealthcare.org,,,,,,,,,HRSA operating hours per week: 42.50,unknown,,,,,,,,,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-06-24,"Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Unknown. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.",BPS-H80-039061,Health Center Service Delivery and Look-Alike Sites,2026-06-24,2026-06-24,needs_review,
hrsa-bps-h80-019242,CHC - Woodbrooke OB/GYN,community_health_center,1647 Woodbrooke Dr,Salisbury,MD,24,Wicomico County,24045,21804-8502,38.36350961,-75.55284955,410-546-2424,https://chesapeakehc.org,,,,,,,,,HRSA operating hours per week: 46.50,unknown,,,,,,,,,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-06-24,"Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Unknown. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.",BPS-H80-019242,Health Center Service Delivery and Look-Alike Sites,2026-06-24,2026-06-24,needs_review,
hrsa-bps-h80-009202,Hurlock Head Start Center,community_health_center,6210 Shiloh Church Hurlock Rd,Hurlock,MD,24,Dorchester County,24019,21643-3933,38.62015582,-75.86030547,410-943-1036,www.choptankhealth.org,,,,,,,,,HRSA operating hours per week: 4.00,unknown,,,,,,,,,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-06-24,"Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: School. Operational schedule: Part-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.",BPS-H80-009202,Health Center Service Delivery and Look-Alike Sites,2026-06-24,2026-06-24,needs_review,
