"id","name","facilityType","address","city","state","stateFips","county","countyFips","postalCode","latitude","longitude","phone","website","services","monday","tuesday","wednesday","thursday","friday","saturday","sunday","hoursNotes","priceLevel","acceptsSlidingScale","estimatedVisitCost","priceNotes","acceptsMedicaid","acceptsMedicare","acceptsUninsured","insuranceNotes","accessibilityInfo","sourceName","sourceUrl","sourceLastChecked","sourceNotes","sourceId","sourceDataset","sourceLastUpdated","lastVerified","verificationStatus","isDemoData"
"hrsa-bps-h80-001082","CAMCARE - GATEWAY HEALTH CENTER","community_health_center","817 Federal St","Camden","NJ","34","Camden County","34007","08103-1539","39.94422671","-75.11558661","856-541-3270","WWW.CAMCARE.NET","","","","","","","","","HRSA operating hours per week: 55.00","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-07-13","Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Full-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-001082","Health Center Service Delivery and Look-Alike Sites","2026-07-13","2026-07-13","needs_review",""
"hrsa-bps-h80-017286","Project H.O.P.E. West Street Health Center","community_health_center","519-525 West St","Camden","NJ","34","Camden County","34007","08103","39.93903701","-75.12248500","856-968-2320","","","","","","","","","","HRSA operating hours per week: 53.00","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-07-13","Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Unknown. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-017286","Health Center Service Delivery and Look-Alike Sites","2026-07-13","2026-07-13","needs_review",""
"hrsa-bps-h80-005615","Kids' Center at Downe Twp. Elementary School","community_health_center","220 County Highway 553","Newport","NJ","34","Cumberland County","34011","08345-2129","39.29710000","-75.16530000","856-451-4700","www.completecarenj.org","","","","","","","","","HRSA operating hours per week: 42.50","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-07-13","Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: School. Operational schedule: Full-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-005615","Health Center Service Delivery and Look-Alike Sites","2026-07-13","2026-07-13","needs_review",""
"hrsa-bps-h80-007901","Central Jersey Medical Center","community_health_center","275 Hobart St","Perth Amboy","NJ","34","Middlesex County","34023","08861-3396","40.50851399","-74.26954497","732-376-9333","www.jrmc.us","","","","","","","","","HRSA operating hours per week: 62.00","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-07-13","Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Full-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-007901","Health Center Service Delivery and Look-Alike Sites","2026-07-13","2026-07-13","needs_review",""
"hrsa-bps-h80-041425","KIPP: Cooper Norcross","community_health_center","525 Clinton St","Camden","NJ","34","Camden County","34007","08103-1223","39.93887776","-75.11974538","856-968-2320","","","","","","","","","","HRSA operating hours per week: 4.00","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-07-13","Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: School. Operational schedule: Unknown. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-041425","Health Center Service Delivery and Look-Alike Sites","2026-07-13","2026-07-13","needs_review",""
"hrsa-bps-h80-001408","Henry J. Austin Health Center-Warren","community_health_center","321 N Warren St","Trenton","NJ","34","Mercer County","34021","08618-4794","40.22538420","-74.76541786","609-278-5900","www.henryjaustin.org","","","","","","","","","HRSA operating hours per week: 56.00","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-07-13","Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Full-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-001408","Health Center Service Delivery and Look-Alike Sites","2026-07-13","2026-07-13","needs_review",""
"hrsa-bps-h80-041422","CAMcare Mobile Unit","community_health_center","1420 Crestmont Ave","Camden","NJ","34","Camden County","34007","08103-3182","39.92762698","-75.09866799","856-583-2400","","","","","","","","","","HRSA operating hours per week: 20.00","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-07-13","Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Unknown. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-041422","Health Center Service Delivery and Look-Alike Sites","2026-07-13","2026-07-13","needs_review",""
"hrsa-bps-h80-003137","Colt Connection at Cumberland Regional High School","community_health_center","65 Love Ln","Bridgeton","NJ","34","Cumberland County","34011","08302-6076","39.47202100","-75.21821698","856-451-9400 x279","www.completecarenj.org","","","","","","","","","HRSA operating hours per week: 42.50","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-07-13","Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: School. Operational schedule: Full-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-003137","Health Center Service Delivery and Look-Alike Sites","2026-07-13","2026-07-13","needs_review",""
"hrsa-bps-h80-004219","Zufall Health Center","community_health_center","18 W Blackwell St","Dover","NJ","34","Morris County","34027","07801-3841","40.88386014","-74.55970776","973-328-9100","WWW.zufallhealth.org","","","","","","","","","HRSA operating hours per week: 62.00","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-07-13","Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Full-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-004219","Health Center Service Delivery and Look-Alike Sites","2026-07-13","2026-07-13","needs_review",""
"hrsa-bps-h80-004971","NEWARK COMMUNITY HEALTH CENTERS, INC.","community_health_center","741 Broadway","Newark","NJ","34","Essex County","34013","07104-4390","40.77519044","-74.15875968","973-483-1300","www.nchcfqhc.org","","","","","","","","","HRSA operating hours per week: 62.00","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-07-13","Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Full-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-004971","Health Center Service Delivery and Look-Alike Sites","2026-07-13","2026-07-13","needs_review",""
"hrsa-bps-h80-008251","CHEMED","community_health_center","1771 Madison Ave","Lakewood","NJ","34","Ocean County","34029","08701-1242","40.10883698","-74.21761296","732-364-2144","","","","","","","","","","HRSA operating hours per week: 85.00","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-07-13","Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Full-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-008251","Health Center Service Delivery and Look-Alike Sites","2026-07-13","2026-07-13","needs_review",""
"hrsa-bps-h80-038343","Rutgers RWJ Eric B. Chandler Health Center","community_health_center","277 George St","New Brunswick","NJ","34","Middlesex County","34023","08901-1476","40.49173074","-74.44251627","732-235-6700","","","","","","","","","","HRSA operating hours per week: 62.50","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-07-13","Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Unknown. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-038343","Health Center Service Delivery and Look-Alike Sites","2026-07-13","2026-07-13","needs_review",""
"hrsa-bps-h80-019637","Saint James Health, Inc.","community_health_center","228 Lafayette St","Newark","NJ","34","Essex County","34013","07105-1815","40.72890972","-74.16278031","973-789-8111","","","","","","","","","","HRSA operating hours per week: 40.00","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-07-13","Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Unknown. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-019637","Health Center Service Delivery and Look-Alike Sites","2026-07-13","2026-07-13","needs_review",""
"hrsa-bps-h80-000725","Mary Eliza Mahoney Health Center","community_health_center","394 University Ave","Newark","NJ","34","Essex County","34013","07102-1246","40.73413198","-74.17751201","800-734-7083","","","","","","","","","","HRSA operating hours per week: 50.00","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-07-13","Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Full-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-000725","Health Center Service Delivery and Look-Alike Sites","2026-07-13","2026-07-13","needs_review",""
"hrsa-bps-h80-003788","METROPOLITAN FAMILY HEALTH NETWORK","community_health_center","935 Garfield Ave","Jersey City","NJ","34","Hudson County","34017","07304-2731","40.71103649","-74.07064358","201-478-5802","www.metrofhn.com","","","","","","","","","HRSA operating hours per week: 52.00","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-07-13","Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Full-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-003788","Health Center Service Delivery and Look-Alike Sites","2026-07-13","2026-07-13","needs_review",""
"hrsa-bps-h80-008888","CAMcare Riverview","community_health_center","130 Mickle Blvd","Camden","NJ","34","Camden County","34007","08103-1025","39.94240737","-75.12664595","856-541-6359","www.camcare.net","","","","","","","","","HRSA operating hours per week: 8.00","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-07-13","Fields copied from the official HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Site status: Active. Location setting: All Other Clinic Types. Operational schedule: Full-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-008888","Health Center Service Delivery and Look-Alike Sites","2026-07-13","2026-07-13","needs_review",""
