"id","name","facilityType","address","city","state","stateFips","county","countyFips","postalCode","latitude","longitude","phone","website","services","monday","tuesday","wednesday","thursday","friday","saturday","sunday","hoursNotes","priceLevel","acceptsSlidingScale","estimatedVisitCost","priceNotes","acceptsMedicaid","acceptsMedicare","acceptsUninsured","insuranceNotes","accessibilityInfo","sourceName","sourceUrl","sourceLastChecked","sourceNotes","sourceId","sourceDataset","sourceLastUpdated","lastVerified","verificationStatus","isDemoData"
"hrsa-bps-h80-000065","Highlands Health Van","community_health_center","18 W Blackwell St","Dover","NJ","34","Morris County","34027","07801-3841","40.88386014","-74.55970776","973-328-3344","www.zufallhealth.org","","","","","","","","","HRSA operating hours per week: 10.00","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-06-03","Fields copied from HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Location setting: All Other Clinic Types. Operational schedule: Unknown. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-000065","Health Center Service Delivery and Look-Alike Sites","2026-06-03","2026-06-03","needs_review",""
"hrsa-bps-h80-000131","CAMCARE - NORTH HEALTH CENTER","community_health_center","N 6th St & Erie St","Camden","NJ","34","Camden County","34007","08102","39.95453398","-75.11650301","856-757-9180","WWW.CAMCARE.NET","","","","","","","","","HRSA operating hours per week: 8.00","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-06-03","Fields copied from HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Location setting: All Other Clinic Types. Operational schedule: Full-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-000131","Health Center Service Delivery and Look-Alike Sites","2026-06-03","2026-06-03","needs_review",""
"hrsa-bps-h80-000158","BROADWAY CLINIC","community_health_center","227 Broadway","Paterson","NJ","34","Passaic County","34031","07501-2002","40.91875287","-74.16512179","973-278-2600","www.patersonchc.org","","","","","","","","","HRSA operating hours per week: 55.00","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-06-03","Fields copied from HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Location setting: All Other Clinic Types. Operational schedule: Full-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-000158","Health Center Service Delivery and Look-Alike Sites","2026-06-03","2026-06-03","needs_review",""
"hrsa-bps-h80-000865","BUTTONWOOD","community_health_center","600 Pemberton Browns Mills Rd","Pemberton","NJ","34","Burlington County","34005","08068-1537","39.96759918","-74.63748344","609-894-1100 x4515","www.sjfmc.org","","","","","","","","","HRSA operating hours per week: 58.00","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-06-03","Fields copied from HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Location setting: All Other Clinic Types. Operational schedule: Full-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-000865","Health Center Service Delivery and Look-Alike Sites","2026-06-03","2026-06-03","needs_review",""
"hrsa-bps-h80-000945","PLEASANTVILLE","community_health_center","932 S Main St","Pleasantville","NJ","34","Atlantic County","34001","08232-3646","39.38291844","-74.53037278","609-383-0880 x3315","www.sjfmc.org","","","","","","","","","HRSA operating hours per week: 57.50","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-06-03","Fields copied from HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Location setting: All Other Clinic Types. Operational schedule: Full-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-000945","Health Center Service Delivery and Look-Alike Sites","2026-06-03","2026-06-03","needs_review",""
"hrsa-bps-h80-001090","North Hudson Community Action Corporation Health Center @ Jersey City","community_health_center","324 Palisade Ave","Jersey City","NJ","34","Hudson County","34017","07307-1791","40.73965084","-74.04655181","201-459-8888","www.nhcac.org","","","","","","","","","HRSA operating hours per week: 50.00","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-06-03","Fields copied from HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Location setting: All Other Clinic Types. Operational schedule: Full-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-001090","Health Center Service Delivery and Look-Alike Sites","2026-06-03","2026-06-03","needs_review",""
"hrsa-bps-h80-001091","North Hudson Community Action Corporation Health Center @ Union City","community_health_center","714 31st St","Union City","NJ","34","Hudson County","34017","07087-2427","40.77275998","-74.03187686","201-863-7077","www.nhcac.org","","","","","","","","","HRSA operating hours per week: 50.00","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-06-03","Fields copied from HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Location setting: All Other Clinic Types. Operational schedule: Full-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-001091","Health Center Service Delivery and Look-Alike Sites","2026-06-03","2026-06-03","needs_review",""
"hrsa-bps-h80-001173","North Hudson Community Action Corporation Health Center @ West New York","community_health_center","5301 Broadway","West New York","NJ","34","Hudson County","34017","07093-2622","40.78271584","-74.0145114","201-866-9320","www.nhcac.org","","","","","","","","","HRSA operating hours per week: 70.00","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-06-03","Fields copied from HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Location setting: All Other Clinic Types. Operational schedule: Full-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-001173","Health Center Service Delivery and Look-Alike Sites","2026-06-03","2026-06-03","needs_review",""
"hrsa-bps-h80-001281","Shabazz High School","community_health_center","80 Johnson Ave","Newark","NJ","34","Essex County","34013","07108-2729","40.71847564","-74.19219174","973-623-8592","www.cjmc.us","","","","","","","","","HRSA operating hours per week: 42.50","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-06-03","Fields copied from HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Location setting: School. Operational schedule: Full-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-001281","Health Center Service Delivery and Look-Alike Sites","2026-06-03","2026-06-03","needs_review",""
"hrsa-bps-h80-001403","Kids' Corner at Broad St. School","community_health_center","251 W Broad St","Bridgeton","NJ","34","Cumberland County","34011","08302-2315","39.42961276","-75.24549413","856-451-4700","www.completecarenj.org","","","","","","","","","HRSA operating hours per week: 43.75","unknown","","","","","","","","","HRSA Health Center Service Delivery and Look-Alike Sites","https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv","2026-06-03","Fields copied from HRSA CSV: site name, address, city, state, postal code, phone, website, HRSA geocoding coordinates, county/FIPS, operating hours per week, site status, and location setting. Location setting: School. Operational schedule: Full-Time. Daily hours, services, price, insurance, and accessibility fields were not supplied by this intake.","BPS-H80-001403","Health Center Service Delivery and Look-Alike Sites","2026-06-03","2026-06-03","needs_review",""
